income,net_wealth
90796.593186,96870.0
934988.72745,6680500.0
934988.72745,6679500.0
934988.72745,6681500.0
934988.72745,6681500.0
934988.72745,6680500.0
14051.853707,195000.0
10809.118236,136000.0
14051.853707,105400.0
16213.677355,56000.0
14051.853707,102000.0
489653.05611,2630000.0
585854.20842,2945100.0
629090.68136,2928000.0
651789.82966,2794100.0
642061.62325,2787100.0
30265.531062,347405.0
30265.531062,332405.0
30265.531062,324305.0
29184.619238,331405.0
30265.531062,339405.0
32427.354709,-76950.0
32427.354709,-75600.0
32427.354709,-76450.0
32427.354709,-76100.0
32427.354709,-72900.0
324273.54709,480100.0
324273.54709,437100.0
324273.54709,554100.0
324273.54709,481100.0
324273.54709,492100.0
44317.38477,23160.0
46479.208417,22170.0
47560.12024,22970.0
44317.38477,22150.0
44317.38477,23150.0
94039.328657,15530.0
94039.328657,16060.0
92958.416834,16660.0
94039.328657,16460.0
92958.416834,15800.0
193483.21643,425590.0
191321.39279,665270.0
218344.18838,425560.0
153489.47896,459440.0
198887.77555,445540.0
205373.24649,845300.0
205373.24649,615400.0
205373.24649,627300.0
205373.24649,694100.0
205373.24649,852500.0
1002437.6253,26294300.0
1002437.6253,26298200.0
1002437.6253,26296300.0
1002437.6253,26299800.0
1002437.6253,26304300.0
496138.52705,3466000.0
473439.37876,3466000.0
458306.61323,3466000.0
457225.7014,3466000.0
475601.2024,3466000.0
94039.328657,1078500.0
83230.210421,1073500.0
84311.122244,1075500.0
112414.82966,1084500.0
94039.328657,1074500.0
4539829.6593,135775000.0
4431738.477,135138000.0
3350826.6533,119607000.0
3480536.0721,134797000.0
3664291.0822,129020000.0
5523459.4188,12156000.0
5577505.01,12156000.0
5469413.8277,12156000.0
5469413.8277,12156000.0
5469413.8277,12157000.0
646385.27054,12771080.0
666922.59519,12770080.0
656113.47695,12771080.0
647466.18236,12771080.0
635576.1523,12770080.0
75123.371743,697700.0
75123.371743,698700.0
75123.371743,698700.0
75123.371743,697700.0
75123.371743,698700.0
92958.416834,1343700.0
91877.50501,1307700.0
92958.416834,1353700.0
92958.416834,1336700.0
92958.416834,1316700.0
63773.797595,74950.0
63773.797595,74950.0
63773.797595,74950.0
62692.885772,74950.0
62692.885772,74950.0
80960.295591,134200.0
80960.295591,129720.0
80960.295591,130200.0
79879.383768,126600.0
80960.295591,127450.0
98362.975952,386300.0
99443.887776,385530.0
99443.887776,385700.0
99443.887776,377500.0
99443.887776,367900.0
6172006.513,27652000.0
6204433.8677,25146000.0
6193624.7495,25359000.0
6204433.8677,25256000.0
6226052.1042,29212000.0
37831.913828,590.0
36751.002004,130.0
36751.002004,1210.0
36751.002004,500.0
36751.002004,6610.0
10625363.226,67735500.0
10690217.936,65324700.0
10787500.0,67237400.0
10701027.054,64000240.0
10657790.581,66171530.0
17294.589178,72380.0
17294.589178,72380.0
17294.589178,73300.0
17294.589178,75900.0
17294.589178,72600.0
115657.56513,252500.0
116738.47695,253500.0
115657.56513,252500.0
116738.47695,251500.0
116738.47695,252500.0
32427.354709,-4400.0
33508.266533,-6200.0
32427.354709,-4470.0
33508.266533,-5180.0
33508.266533,-5200.0
37831.913828,-4600.0
37831.913828,-3600.0
37831.913828,-4500.0
37831.913828,-3500.0
37831.913828,-3500.0
52964.679359,293350.0
52964.679359,300350.0
52964.679359,253350.0
52964.679359,292350.0
52964.679359,393350.0
16213.677355,63101.0
16213.677355,63201.0
16213.677355,63151.0
16213.677355,63101.0
16213.677355,63151.0
88634.769539,168700.0
100524.7996,155800.0
99443.887776,299500.0
82149.298597,179000.0
86472.945892,230700.0
100524.7996,40000.0
107010.27054,254800.0
91877.50501,95900.0
91877.50501,203900.0
101605.71142,100700.0
2118587.1743,18330200.0
2064541.5832,18340200.0
2129396.2926,18488200.0
2378006.012,18270200.0
2064541.5832,18441200.0
68097.44489,250900.0
68097.44489,258900.0
68097.44489,250900.0
68097.44489,214900.0
67016.533066,205900.0
438850.2004,1556000.0
438850.2004,1556000.0
438850.2004,1556000.0
438850.2004,1604000.0
438850.2004,1556000.0
86472.945892,283300.0
87553.857715,293300.0
86472.945892,266900.0
86472.945892,252600.0
87553.857715,263100.0
35670.09018,14340.0
35670.09018,15340.0
35670.09018,15340.0
35670.09018,14340.0
35670.09018,15340.0
562074.1483,34245300.0
553426.85371,34268000.0
567478.70741,34238200.0
543698.64729,34246000.0
567478.70741,34267000.0
12668286.573,249260000.0
11079346.192,495858000.0
12657477.455,306671000.0
12376440.381,424967000.0
